GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.util,MultiReadHttpServletRequest,35,0,2,0,9,0,5,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest.factory,ResponseEntityFactory,13,0,2,0,2,0,3,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.filter,Log4jRestInvocationFilter,88,7,6,0,14,2,7,2,4,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.productavailability,QLocalizedProductAvailabilityId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.productavailability,LocalizedProductAvailability,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.productavailability,QLocalizedProductAvailability,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.productavailability,LocalizedProductAvailabilityId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,DictionariesMapperImpl,689,14,132,2,242,5,104,2,28,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,ProductMapper,35,14,0,0,3,2,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,AuditMapper,0,14,0,0,0,2,0,1,0,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,SourceSystemMapperImpl,16,14,3,1,6,5,3,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,SearchByMapperImpl,245,3,48,0,98,1,41,1,7,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,NullableMapperImpl,0,3,0,0,0,1,0,1,0,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,UserMapperImpl,4,36,2,2,2,11,2,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,SortDirectionMapperImpl,23,3,5,0,9,1,4,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,RejectionReasonMapperImpl,58,3,14,0,26,1,12,1,2,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,NullableMapper,43,0,10,0,3,0,8,0,3,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,DictionariesMapper,45,0,2,0,10,0,3,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,CustomerDetailsMapperImpl,328,3,59,0,117,1,44,1,12,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,ProductMapperImpl,332,186,85,22,101,57,62,11,8,9
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,LanguageMapperImpl,40,3,8,0,14,1,6,1,2,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,CustomerPartialMapperImpl,81,3,15,0,31,1,13,1,3,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,ProductPartialMapperImpl,59,3,2,0,11,1,2,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,CustomerMapper,0,14,0,0,0,2,0,1,0,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,CustomerMapperImpl,190,299,52,26,67,89,45,15,3,14
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,CustomerDetailsMapper,9,0,2,0,1,0,2,0,1,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,SortByMapperImpl,117,3,31,0,59,1,28,1,3,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,SourceSystemMapper,15,0,0,0,5,0,1,0,1,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.mapper,AuditMapperImpl,36,140,22,17,12,44,19,9,0,8
